Date;LV ActivePower;Wind Speed;Theoretical_Power_Curve;Wind Direction
02 01 2018 05:30;3539.1120605;12.6039104;3586.0793154;201.2702942
02 01 2018 05:40;3430.4360352;12.2122202;3551.1616159;198.9846039
02 01 2018 05:50;3301.9179688;11.9876204;3520.0118313;202.5711975
02 01 2018 06:00;3235.5439453;11.6793299;3463.0316030;200.7035065
02 01 2018 06:10;3519.0229492;12.4697199;3576.7982540;197.8733978
02 01 2018 06:20;3469.5371094;12.4948997;3578.7487564;201.1011047
02 01 2018 06:30;3296.1860352;11.7898302;3485.4176428;200.3565979
02 01 2018 06:40;3045.5100098;10.9035501;3237.3149571;199.4629059
02 01 2018 06:50;3444.7419434;12.1880798;3548.2148952;202.7460022
02 01 2018 07:00;3417.7460938;11.9781303;3518.5082471;199.4022064
02 01 2018 07:10;2807.6130371;10.6744699;3144.9772953;197.2297058
02 01 2018 07:20;2493.3930664;9.6966467;2588.5919596;200.3191986
02 01 2018 07:30;3215.1960449;11.4175901;3400.7825082;200.4882050
02 01 2018 07:40;3589.5900879;12.6892700;3590.5731751;199.5281067
02 01 2018 07:50;3599.1499023;13.0586004;3600.0000000;200.6078033
02 01 2018 08:00;3375.1770020;11.5208197;3426.9224723;195.8547058
02 01 2018 08:10;3346.9809570;11.5123100;3424.8471898;197.7467041
02 01 2018 08:20;3567.9670410;12.4162998;3572.3366032;199.1638031
02 01 2018 08:30;3519.2648926;12.1601496;3544.6866079;198.3968964
02 01 2018 08:40;3485.1918945;11.6710796;3461.2696660;194.6569977
02 01 2018 08:50;3145.5629883;11.1458597;3321.5456957;195.8325043
02 01 2018 09:00;2978.3100586;10.7728996;3186.2250791;193.1703949
02 01 2018 09:10;3179.0080566;10.9297600;3247.0746199;195.0997009
02 01 2018 09:20;3461.5810547;12.1400604;3542.0695015;198.2947998
02 01 2018 09:30;3082.5490723;11.1955605;3337.2052248;200.7570038
02 01 2018 09:40;3493.6579590;12.9486904;3597.6784457;204.0805969
02 01 2018 09:50;3601.0458984;14.8794298;3600.0000000;197.5942993
02 01 2018 10:00;3597.5649414;15.1240597;3600.0000000;196.3455963
02 01 2018 10:10;3602.1721191;16.2936707;3600.0000000;196.8367004
02 01 2018 10:20;3601.9929199;16.1239796;3600.0000000;192.2306061
02 01 2018 10:30;3600.7910156;15.2746000;3600.0000000;190.9492950
02 01 2018 10:40;3590.7500000;13.5667200;3600.0000000;192.9456024
02 01 2018 10:50;3601.8459473;15.3677998;3600.0000000;194.7528076
02 01 2018 11:00;3601.8701172;15.8617496;3600.0000000;195.0402985
02 01 2018 11:10;3591.6550293;14.9205103;3600.0000000;197.9895935
02 01 2018 11:20;3579.0249023;13.6085300;3600.0000000;201.4945068
02 01 2018 11:30;3598.1311035;14.4638596;3600.0000000;200.4884033
02 01 2018 11:40;3525.3330078;12.6882896;3590.5277053;202.2259979
02 01 2018 11:50;3560.6999512;13.5569000;3600.0000000;202.1535950
02 01 2018 12:00;3537.6760254;13.3228102;3600.0000000;203.2893982
02 01 2018 12:10;3491.2910156;12.6070099;3586.2615122;201.0937042
02 01 2018 12:20;3530.7661133;12.3147602;3562.6284043;197.5440979
02 01 2018 12:30;2915.8391113;10.3801899;3006.7176700;200.9197998
02 01 2018 12:40;2178.6589355;9.1170292;2219.6919851;201.0245056
02 01 2018 12:50;2244.4121094;9.2531910;2308.3225265;198.9759979
02 01 2018 13:00;1278.8950195;9.0723066;2190.7047631;198.2364044
02 01 2018 13:10;2832.9340820;10.3446302;2988.4245987;196.6472015
02 01 2018 13:20;3205.9729004;11.1033096;3307.7107403;200.1464996
02 01 2018 13:30;3149.2849121;11.0691099;3296.3006417;198.8968048
02 01 2018 13:40;3273.6560059;11.3258104;3375.7429010;201.1446075
02 01 2018 13:50;3114.0991211;11.0151396;3277.7611521;204.9272003
02 01 2018 14:00;3111.0600586;10.9072599;3238.7061585;204.8137970
02 01 2018 14:10;3361.0119629;11.7694101;3481.4492304;209.7785950
02 01 2018 14:20;3421.4199219;11.8748302;3501.1303459;209.6006012
02 01 2018 14:30;3520.1489258;12.1692600;3545.8515550;208.3181000
02 01 2018 14:40;3589.4270020;12.8206196;3595.3894660;211.1817932
02 01 2018 14:50;3495.1159668;12.5716200;3584.0953071;209.4647064
02 01 2018 15:00;3298.7619629;11.3992996;3395.9291652;205.6250000
02 01 2018 15:10;2894.4409180;10.5454302;3087.1743337;200.6107025
02 01 2018 15:20;3486.6289063;12.3093300;3562.0633888;202.0561981
02 01 2018 15:30;3455.2470703;12.1683197;3545.7319480;203.7207031
02 01 2018 15:40;3556.7858887;12.2870798;3559.6992033;204.6085968
02 01 2018 15:50;3375.5820313;12.0131903;3523.9862091;201.7415009
02 01 2018 16:00;3493.9790039;12.2135296;3551.3187345;201.7156067
02 01 2018 16:10;3549.1479492;12.9377403;3597.5745902;199.9685059
02 01 2018 16:20;3483.3159180;13.6694202;3600.0000000;203.8706970
02 01 2018 16:30;3589.8588867;13.6978598;3600.0000000;204.8023071
02 01 2018 16:40;3584.2351074;12.7583599;3593.4210888;202.6508026
02 01 2018 16:50;3599.0080566;12.7651796;3593.6642380;201.2570953
02 01 2018 17:00;3602.6379395;13.0772200;3600.0000000;203.4407043
02 01 2018 17:10;3550.5639648;12.5934095;3585.4513171;205.1535034
02 01 2018 17:20;3552.7829590;12.5136700;3580.1395813;205.0081940
02 01 2018 17:30;3585.0109863;12.5344000;3581.6131831;204.1203003
02 01 2018 17:40;3421.1760254;11.9644299;3516.3102002;201.9989014
02 01 2018 17:50;3406.0400391;11.9457703;3513.2643486;194.3786926
02 01 2018 18:00;3515.6101074;12.2070799;3550.5421174;189.5238037
02 01 2018 18:10;3515.9650879;12.2751503;3558.3990680;190.5794983
02 01 2018 18:20;3475.4189453;12.7226400;3592.0363069;187.6125031
02 01 2018 18:30;3471.1569824;12.2653704;3557.3161903;189.4371948
02 01 2018 18:40;3281.7548828;11.7036896;3468.1599132;192.2619019
02 01 2018 18:50;2955.1149902;10.9635296;3259.4129055;190.4571991
02 01 2018 19:00;3061.7351074;11.2979698;3367.8051387;192.8582001
02 01 2018 19:10;2679.1101074;10.6659498;3141.2926113;194.0843964
02 01 2018 19:20;2721.0810547;10.8332901;3210.3506008;195.2017975
02 01 2018 19:30;2649.1369629;10.5783701;3102.3399982;195.3432007
02 01 2018 19:40;2707.7429199;10.3885403;3010.9622791;201.7976990
02 01 2018 19:50;2508.8320313;10.0804195;2841.0994223;204.2073975
02 01 2018 20:00;2316.6479492;9.8387384;2687.6880816;199.7474060
02 01 2018 20:10;3081.5429688;11.4399996;3406.6370644;200.2402954
02 01 2018 20:20;3397.6389160;11.9440298;3512.9771721;201.1663971
02 01 2018 20:30;3391.7160645;11.8592901;3498.3539941;201.7106018
02 01 2018 20:40;3587.5109863;12.8114796;3595.1357822;201.3484955
02 01 2018 20:50;3603.1120605;12.9135399;3597.2843805;201.6768951
02 01 2018 21:00;3591.0930176;12.7283201;3592.2690260;202.4132996
02 01 2018 21:10;3221.0449219;11.6635799;3459.6569719;202.6618958
02 01 2018 21:20;2887.7338867;11.0952301;3305.0386120;204.0612030
02 01 2018 21:30;2364.5349121;10.1609497;2888.1834695;203.3379059
02 01 2018 21:40;1935.8470459;9.2024155;2275.2114480;197.8013000
02 01 2018 21:50;1549.4809570;8.5392847;1852.2738512;195.5061035
02 01 2018 22:00;1625.7559814;8.8091412;2021.7542391;187.4846039
02 01 2018 22:10;1994.2220459;9.6084604;2523.6089795;188.0238953
02 01 2018 22:20;2362.0000000;9.8449240;2691.8485325;190.6604004
02 01 2018 22:30;2097.7719727;9.3386707;2364.1987434;196.7335968
02 01 2018 22:40;1564.5909424;8.4249163;1781.8998773;197.0158997
02 01 2018 22:50;1107.4749756;7.6562338;1339.7139488;188.6903992
02 01 2018 23:00;1303.1169434;8.1445818;1613.8477131;181.6596069
02 01 2018 23:10;1561.1820068;8.5471373;1857.1401745;173.5366974
02 01 2018 23:20;1544.9990234;8.3818045;1755.6275979;171.3834076
02 01 2018 23:30;1456.7380371;7.8504491;1445.5535337;179.8197937
02 01 2018 23:40;1795.6440430;8.6565514;1925.3740820;188.2382965
02 01 2018 23:50;2773.2910156;10.9231195;3244.6171745;179.0390930
03 01 2018 00:00;2782.5681152;10.4051199;3019.3326956;176.9255981
03 01 2018 00:10;2446.4240723;9.4981308;2468.7613781;174.6770020
03 01 2018 00:20;3412.3920898;11.9302502;3510.6849281;180.6725006
03 01 2018 00:30;3255.3378906;11.0762901;3298.7177916;183.8755035
03 01 2018 00:40;2796.8769531;10.4578800;3045.4668008;192.1911011
03 01 2018 00:50;2467.9541016;9.7911491;2655.2552405;197.1045990
03 01 2018 01:00;1278.8869629;7.6264868;1323.9110522;202.9405060
03 01 2018 01:10;1042.5379639;7.2876358;1150.9138278;207.3871002
03 01 2018 01:20;609.0761719;6.2282090;703.7205269;216.9989014
03 01 2018 01:30;175.4407043;4.4716220;216.0170723;222.5090942
03 01 2018 01:40;112.1109009;4.1278291;147.1041396;215.4514008
03 01 2018 01:50;271.9171143;5.0328441;344.1094784;202.5102997
03 01 2018 02:00;737.4487915;6.2670450;717.8434981;211.2003021
03 01 2018 02:10;1375.5799561;7.7633371;1397.5231898;193.6107025
03 01 2018 02:20;1520.8900146;8.2195520;1658.1191121;172.1354980
03 01 2018 02:30;1349.1120605;7.9748888;1515.6494750;168.3569031
03 01 2018 02:40;889.1298218;6.7943649;926.0444806;171.1295013
03 01 2018 02:50;412.1155090;5.5361080;479.4472407;162.7037964
03 01 2018 03:00;444.6036072;5.4917150;466.6197137;150.2816925
03 01 2018 03:10;655.7307129;6.0767541;650.1870230;149.6408997
03 01 2018 03:20;882.5654297;6.6909389;882.7282325;152.2225037
03 01 2018 03:30;998.3845825;6.8480120;949.0116113;157.1643066
03 01 2018 03:40;1193.3959961;7.7593842;1395.3647869;152.6997070
03 01 2018 03:50;1122.7120361;7.4176269;1215.6595089;152.0760040
03 01 2018 04:00;1214.1259766;7.4722261;1243.6000540;154.7837982
03 01 2018 04:10;1086.3070068;7.0807729;1052.7680273;160.2183075
03 01 2018 04:20;1060.6030273;7.0537219;1040.3568466;165.8153992
03 01 2018 04:30;1451.7139893;7.7663150;1399.1503816;170.8444977
03 01 2018 04:40;1361.4599609;7.8332462;1435.9988780;173.0240936
03 01 2018 04:50;1490.5699463;7.9593010;1506.7768526;173.9763947
03 01 2018 05:00;1153.1390381;7.2837429;1149.0124236;176.7931976
03 01 2018 05:10;953.9760132;7.0012522;1016.5525824;178.0930023
03 01 2018 05:20;799.0856934;6.7581358;910.7282546;174.0330048
03 01 2018 05:30;616.2548218;6.1799922;686.4114027;167.9960022
03 01 2018 05:40;646.9244995;6.3017192;730.5901706;168.8119965
03 01 2018 05:50;1323.6820068;7.5177770;1267.1349689;184.7017975
03 01 2018 06:00;1568.8859863;8.0942030;1584.3955514;194.0092926
03 01 2018 06:10;1580.9029541;7.8549538;1448.0610493;197.8014984
03 01 2018 06:20;1495.1800537;7.7194681;1373.6750760;191.2086945
03 01 2018 06:30;2063.8688965;8.8479013;2046.4389460;195.0639038
03 01 2018 06:40;2368.7600098;9.6310196;2540.4917314;198.0747070
03 01 2018 06:50;2516.4199219;9.7676649;2638.9717309;191.8385010
03 01 2018 07:00;2108.7709961;9.1850042;2263.8730948;190.0070038
03 01 2018 07:10;2568.1110840;9.9276505;2746.2903402;179.3226929
03 01 2018 07:20;3445.2199707;12.0327597;3526.9525075;175.9355011
03 01 2018 07:30;2994.1069336;10.8730898;3225.7691741;180.7583008
03 01 2018 07:40;2594.9370117;10.3806105;3006.9319147;177.4212036
03 01 2018 07:50;2326.8259277;10.3430204;2987.5880834;164.6313934
03 01 2018 08:00;1941.4639893;9.2837915;2328.3075256;157.3659973
03 01 2018 08:10;1581.4870605;8.2639513;1684.5778376;151.1777039
03 01 2018 08:20;1013.2869873;7.1610770;1090.1793437;144.4230042
03 01 2018 08:30;375.6176147;5.5021520;469.6191644;145.3318024
03 01 2018 08:40;198.1511993;4.6455841;253.4672425;155.7653046
03 01 2018 08:50;87.4404526;3.8478670;100.6420220;162.2716980
03 01 2018 09:00;189.1378021;4.5537109;233.4558636;148.0536041
03 01 2018 09:10;434.4317932;5.7359529;539.5070619;136.6712036
03 01 2018 09:20;336.5007935;5.0579691;350.3694191;139.4640045
03 01 2018 09:30;296.6101074;4.9224401;317.1718028;141.7938995
03 01 2018 09:40;92.9240036;3.8213501;96.2524818;148.5747986
03 01 2018 09:50;85.7023010;3.5808411;61.5770214;165.8957062
03 01 2018 10:00;309.5114136;4.7161450;269.2057367;187.6051941
03 01 2018 10:10;381.1726074;5.0808558;356.1144530;188.4362946
03 01 2018 10:20;417.2662964;5.3432679;425.0226087;202.2389984
03 01 2018 10:30;446.3438110;5.4527121;455.4989836;201.0330963
03 01 2018 10:40;206.6020966;4.2969880;180.2207304;191.4851074
03 01 2018 10:50;251.3757019;4.7362609;273.7530825;183.4333954
03 01 2018 11:00;275.0136108;4.7805629;283.8646662;187.9405975
03 01 2018 11:10;314.2744141;4.8941412;310.4131199;180.8480072
03 01 2018 11:20;238.7823029;4.4874878;219.3559750;185.8578033
03 01 2018 11:30;409.0264893;5.3147831;417.2631565;180.8168945
03 01 2018 11:40;506.4703064;5.7114010;531.9193571;186.1788025
03 01 2018 11:50;427.9566956;5.3748860;433.7182755;196.3742065
03 01 2018 12:00;952.2675781;6.8955059;969.6346499;193.9367065
03 01 2018 12:10;1019.9050293;7.2409210;1128.2376863;187.7236023
03 01 2018 12:20;1015.3579712;6.7099881;890.6123118;185.2734070
03 01 2018 12:30;979.7229004;6.8519630;950.7168123;183.7971039
03 01 2018 12:40;379.4078979;5.0783129;355.4740901;185.1383972
03 01 2018 12:50;841.5977783;6.5212889;814.3434800;189.2635040
03 01 2018 13:00;672.6187744;6.1711798;683.2747912;189.2765045
03 01 2018 13:10;452.0786133;5.4492431;454.5165791;190.6367950
03 01 2018 13:20;558.9979248;5.8511281;575.9105762;196.9326935
03 01 2018 13:30;331.7192993;5.0940881;359.4547640;193.4658051
03 01 2018 13:40;212.1006927;4.5985942;243.1654974;197.9337006
03 01 2018 13:50;79.7210236;3.6297021;67.8724448;199.7156067
03 01 2018 14:00;183.0128021;4.4726501;216.2329720;205.3706055
03 01 2018 14:10;279.1960144;4.9186168;316.2552558;204.3323059
03 01 2018 14:20;460.2166138;5.6258359;505.9378767;209.3771057
03 01 2018 14:30;647.7111206;6.3167748;736.1652234;211.6537018
03 01 2018 14:40;685.0780029;6.2371650;706.9630418;212.0509033
03 01 2018 14:50;709.8339844;6.4493780;786.3313199;211.6076050
03 01 2018 15:00;493.3555908;5.7827172;554.1258994;212.3511047
03 01 2018 15:10;366.0793152;5.3461199;425.8033770;216.8318024
03 01 2018 15:20;183.0379028;4.3793330;196.8860292;220.0410004
03 01 2018 15:30;7.3476791;3.0113709;16.3742125;238.6905975
